name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Fast Car,Gettin' Old,Luke Combs,2023-03-24,265493,92,0.186,0.712,0.603,0.0,0.115,-5.52,0.0262,97.994,4
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,165671,98,0.483,0.668,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,3
un x100to,un x100to,Grupo Frontera,2023-04-17,194563,99,0.228,0.569,0.724,0.0,0.27,-4.076,0.0474,83.118,4
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,163854,91,0.459,0.517,0.675,0.0,0.151,-5.382,0.0357,203.853,4
Last Night,One Thing At A Time,Morgan Wallen,2023-03-03,163854,90,0.467,0.492,0.675,0.0,0.142,-5.456,0.0389,203.759,4
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,234352,99,0.213,0.812,0.479,1.21e-06,0.0756,-5.678,0.333,169.922,4
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,131013,95,0.252,0.696,0.809,0.000128,0.248,-8.254,0.05,132.962,4
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,231704,100,0.143,0.652,0.8,0.629,0.112,-4.019,0.0614,143.978,4
vampire,vampire,Olivia Rodrigo,2023-06-30,219724,96,0.169,0.511,0.532,0.0,0.311,-5.745,0.056,137.827,4
fukumean,a Gift & a Curse,Gunna,2023-06-16,125040,92,0.119,0.847,0.622,0.0,0.285,-6.747,0.0903,130.001,4
Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY,2023-02-24,174253,98,0.435,0.783,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,4
Search & Rescue,Search & Rescue,Drake,2023-04-07,272112,90,0.0603,0.817,0.44,1.42e-06,0.33,-8.482,0.0734,142.024,4
Thinkin’ Bout Me,One Thing At A Time,Morgan Wallen,2023-03-03,177387,88,0.492,0.656,0.757,0.0,0.117,-5.775,0.0308,139.971,4
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,223878,92,0.15,0.829,0.436,0.0,0.0954,-8.205,0.327,143.031,4
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,219453,94,0.464,0.631,0.535,0.0,0.115,-7.836,0.0842,140.127,4
Area Codes,Area Codes,Kaliii,2023-03-17,139325,91,0.0187,0.823,0.388,0.0,0.0876,-10.867,0.491,154.569,4
You Proof,One Thing At A Time,Morgan Wallen,2023-03-03,157477,87,0.265,0.732,0.839,0.0,0.602,-5.007,0.0345,119.724,4
Daylight,Daylight,David Kushner,2023-04-14,212953,98,0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,4
