name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,2023-04-21,169523,83,0.0347,0.589,0.973,0.000945,0.45,-5.317,0.0426,126.003,4
FEARLESS (2023 Ver.),UNFORGIVEN,LE SSERAFIM,2023-05-01,168437,75,0.0602,0.856,0.615,0.0018,0.118,-7.226,0.133,103.948,4
Blue Flame (2023 Ver.),UNFORGIVEN,LE SSERAFIM,2023-05-01,201894,69,0.023,0.771,0.747,1.47e-06,0.0706,-3.407,0.0455,112.046,4
Gostyle 2023 Freestyle,Reverence,iayze,2023-03-07,101005,61,0.121,0.585,0.693,1.17e-05,0.248,-5.736,0.171,126.761,4
Gostyle 2023 Freestyle,Gostyle 2023 Freestyle,iayze,2023-02-28,101005,59,0.121,0.585,0.693,1.17e-05,0.248,-5.736,0.171,126.761,4
2023,Sky Is Falling/ New Beginnings,R.T.R Jae,2023-01-09,106045,59,0.0012,0.675,0.704,0.0,0.385,-3.93,0.239,81.411,4
Johanna (Act 2 Sequence) - 2023 Broadway Cast Recording,Johanna (Act 2 Sequence) [2023 Broadway Cast Recording],Josh Groban,2023-06-09,321391,57,0.788,0.438,0.233,0.000256,0.191,-12.37,0.0394,160.974,4
The Ballad of Sweeney Todd (Opening) [2023 Broadway Cast Recording],The Ballad of Sweeney Todd (Opening) [2023 Broadway Cast Recording],Josh Groban,2023-05-08,178928,56,0.699,0.631,0.368,1.11e-06,0.149,-10.282,0.0612,120.48,4
Peaches - 2023,Peaches (2023),Kidz Bop Kids,2023-06-23,94778,54,0.56,0.722,0.402,0.0,0.102,-5.76,0.0317,91.932,4
Young Hearts Run Free (2023 Edit),Young Hearts Run Free (2023 Edit),Candi Staton,2023-02-24,212689,65,0.0063,0.646,0.921,2.08e-05,0.401,-4.122,0.154,127.847,4
DO IT AGAIN - Official Song of the FIFA Women’s World Cup 2023™,DO IT AGAIN (Official Song of the FIFA Women’s World Cup 2023™),BENEE,2023-06-28,176730,59,0.00761,0.572,0.794,0.0945,0.166,-5.407,0.0312,146.008,4
2023,2023,Mike Sherm,2023-01-31,108853,51,0.196,0.94,0.398,8.96e-06,0.0965,-14.694,0.236,97.022,4
By the Sea - 2023 Broadway Cast Recording,By the Sea (2023 Broadway Cast Recording),Josh Groban,2023-06-02,216335,52,0.885,0.721,0.263,0.0,0.0872,-11.298,0.0569,153.894,4
My Friends - 2023 Broadway Cast Recording,My Friends (2023 Broadway Cast Recording),Josh Groban,2023-05-26,231682,52,0.875,0.26,0.201,0.0,0.152,-10.027,0.0337,85.686,4
Cities (Live) - 2023 Remaster,Cities (Live) [2023 Remaster],Talking Heads,2023-07-07,214684,45,0.173,0.624,0.941,0.000374,0.978,-5.418,0.0502,129.64,4
Epiphany - 2023 Broadway Cast Recording,Epiphany (2023 Broadway Cast Recording),Josh Groban,2023-06-23,189212,51,0.86,0.424,0.519,0.000254,0.357,-8.264,0.129,83.546,5
Always on my mind - 2023 Remaster,SMASH – The Singles 1985 – 2020 (2023 Remaster),Pet Shop Boys,2023-06-16,244493,58,0.00269,0.538,0.854,0.1,0.167,-6.123,0.0356,124.947,4
Eres Tú - Tour 2023,Eres Tú (Tour 2023),Jennifer Rojo,2023-02-10,229418,54,0.555,0.519,0.52,0.0,0.106,-7.498,0.0439,149.769,4
Moonlight Feels Right - 2023 Remaster,Moonlight Feels Right (2023 Remaster),Starbuck,1976-01-18,221066,53,0.355,0.663,0.726,7.67e-05,0.0968,-9.569,0.0276,120.378,4
The World Is My Oyster (2023 Ver.),UNFORGIVEN,LE SSERAFIM,2023-05-01,106820,59,0.0211,0.614,0.855,0.521,0.135,-7.471,0.0398,120.017,4
Search and Destroy [2023 Remaster] - Iggy Mix,Raw Power (Iggy Mix - 2023 Remaster),The Stooges,1973-02-06,210056,54,0.00353,0.235,0.977,0.00604,0.172,0.878,0.107,152.952,4
I've Witnessed It - Live From Passion 2023,I've Witnessed It (Live From Passion 2023),Passion,2023-02-03,470046,50,0.0752,0.306,0.628,0.0,0.0568,-6.951,0.0346,171.428,3
Perfecta (Versión 2023),Hotel Miranda!,Miranda!,2023-04-19,221053,77,0.0998,0.687,0.576,0.0,0.279,-4.212,0.0567,169.939,4
BARRABASA 2023,BARRABASA 2023,K4ngal Music,2023-05-14,169691,50,0.182,0.629,0.749,0.866,0.327,-8.396,0.0344,128.538,4
Thousand Days - 2023 Remaster,Thousand Days (2023 Remaster),Stevie Nicks,2023-07-06,285152,41,0.326,0.627,0.965,1.91e-06,0.361,-5.838,0.0608,116.322,4
No Longer Slaves - 2023 Short Edit / Live,10 Years of Tasha,Tasha Cobbs Leonard,2023-06-02,418804,51,0.0201,0.376,0.662,1.26e-06,0.308,-6.507,0.0348,133.727,4
2023,2023,Blue Rain Boots,2019-01-20,262034,47,0.0609,0.675,0.639,0.0,0.0842,-8.63,0.0352,113.432,4
Bam Lahri 2023,2023 Ka Superhit Bol Bam Gaane,Various Artists,2023-07-07,252051,0,0.193,0.777,0.94,0.0,0.345,-3.924,0.217,127.978,4
The Trip - 2023 Remaster,Strange Pleasures - 10th Anniversary Edition,Still Corners,2013-05-07,373266,58,0.208,0.689,0.786,0.0319,0.161,-5.133,0.039,119.996,4
2023,2023,JZAC,2023-01-27,107400,50,0.0794,0.792,0.542,0.0,0.107,-9.147,0.299,100.155,4
Spiel mit mir - 2023 Mix,Du hast / Spiel mit mir (2023 Mix),Rammstein,2023-05-12,286615,64,0.0191,0.344,0.925,0.19,0.0627,-6.462,0.135,156.137,4
Mына минтип - 2023,Мына минтип (2023),Съездбек Искеналиев,2023-05-10,203670,59,0.0461,0.85,0.619,0.127,0.305,-7.362,0.0622,120.01,4
Uncle John's Band - 2023 Mickey Hart Mix,Workingman’s Dead (2023 Mickey Hart Mix),Grateful Dead,2023-06-13,286986,48,0.622,0.662,0.524,0.0,0.0954,-10.625,0.0797,137.026,4
2023 - Majid Jordan Remix,2023 (Majid Jordan Remixes),Lila Drew,2022-07-27,146097,51,0.111,0.7,0.513,0.00791,0.103,-8.513,0.0377,137.011,4
No Es Sólo Un Juego - The Official Concacaf Gold Cup 2023[TM] Theme,No Es Sólo Un Juego (The Official Concacaf Gold Cup 2023[TM] Theme),Akon,2023-06-21,167066,58,0.0233,0.712,0.904,0.0,0.349,-2.913,0.0335,124.068,4
Gam Gam - 2023,Gam Gam (2023),Deborah de Luca,2023-03-24,248888,66,0.0249,0.592,0.96,0.858,0.445,-6.969,0.12,135.002,4
Holy Forever - Live From Good Friday 2023,Holy Forever (Live From Good Friday 2023),Chris Tomlin,2023-06-02,389973,51,0.285,0.309,0.709,0.0,0.0864,-5.282,0.0447,143.087,4
Hits from the Bong - DJ Muggs 2023 Remix,Hits from the Bong (DJ Muggs 2023 Remix),Cypress Hill,2023-07-07,179674,48,0.363,0.625,0.901,0.0572,0.61,-7.735,0.265,163.935,4
