name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Mr. Big Stuff,Mr. Big Stuff,Jean Knight,1971,164560,69,0.29,0.886,0.491,2.46e-06,0.229,-12.589,0.171,93.236,4
To Be With You - 2021 Remastered,Lean Into It (30th Anniversary Edition),Mr. Big,1991,208080,73,0.359,0.688,0.284,0.0,0.127,-13.577,0.0574,83.433,4
Mr. Big,Comin Out Hard,8Ball & MJG,1993,353853,44,0.00458,0.856,0.5,0.00192,0.0915,-10.697,0.285,155.863,4
Mr. Big Bank Budda,I Am Mr. Mosely,Drakeo the Ruler,2017-04-07,209319,40,0.0443,0.714,0.859,0.0,0.1,-4.778,0.102,94.031,4
Mr. Biggs,Feds Watching,Lil Double 0,2023-03-08,161625,45,0.105,0.666,0.544,0.0,0.166,-4.577,0.282,144.94,4
To Be With You - 2010 Remastered Version,Lean Into It [Expanded],Mr. Big,1991-03-26,210480,69,0.286,0.688,0.375,0.0,0.133,-9.601,0.0535,83.635,4
To Be With You,"Big, Bigger, Biggest! The Best Of Mr. Big",Mr. Big,1996-11-25,207200,61,0.346,0.693,0.408,0.0,0.146,-7.999,0.0442,83.646,4
Mr. Brightside,Hot Fuss,The Killers,2004,222973,89,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,4
Mr.Big,Mr.Big,JTRU,2022-03-28,160223,0,0.377,0.753,0.648,0.0,0.289,-5.704,0.5,179.973,4
Wild World - 2009 Remastered Version,Bump Ahead [Expanded],Mr. Big,1993-09-17,208560,67,0.182,0.573,0.722,0.0,0.29,-6.518,0.0295,144.209,4
Mr. BigBoom,Mr. BigBoom,22Bullets,2021-05-28,148551,56,0.000337,0.425,0.937,0.0,0.912,-3.506,0.0672,145.155,4
Mr.Big,FTO,Luhh Tre,2023-06-08,171943,0,0.0332,0.936,0.511,0.0,0.0674,-13.713,0.323,135.035,4
Mr. BigYellowSun,Sunflower,Cosmopaark,2019-03-21,189937,41,0.499,0.498,0.537,0.823,0.103,-10.238,0.0265,84.444,4
Mr.Big,The Hungry Horny Gangsta,Grizwald Dickie,2023-05-26,161060,0,0.0219,0.894,0.412,0.168,0.137,-9.005,0.284,156.158,4
Addicted To That Rush - 2023 Remastered,Mr. Big (2023 Remastered),Mr. Big,1989-06-19,285014,50,0.0353,0.493,0.928,1.29e-06,0.496,-9.755,0.101,113.109,4
Mr. Big Shot,The Words You Don't Swallow,Anarbor,2010-04-20,205506,40,0.00371,0.414,0.923,0.0,0.357,-2.941,0.0984,185.002,4
Mr.Big,D U S T,Dustman,2011-11-07,287560,0,4.18e-05,0.674,0.623,0.873,0.122,-7.967,0.0376,130.033,4
Long Hair,The Mask is Off,The Last Mr. Bigg,2003,269000,47,0.233,0.903,0.529,0.0,0.129,-3.615,0.406,91.113,4
Mr. Big Shot,Mr. Big Shot,Poppa Cannon,2023-04-14,142013,37,0.0589,0.768,0.819,0.0,0.738,-5.685,0.248,139.915,4
Mr.Big,Vice City,TKN FORLIFE,2023-02-05,112150,0,0.223,0.805,0.722,0.0,0.187,-4.934,0.0556,142.006,4
Mr.Brightside (Tommytohotty),PUNK GOES DRILL+** HOSTED BY SHOKURADIO,POLO PERKS <3 <3 <3,2021-03-05,86000,37,0.0013,0.582,0.504,7.91e-06,0.312,-10.827,0.0773,139.091,4
Mr.Big,Speed Of Light,Stealing Death,2018-09-26,168654,0,0.0135,0.367,0.884,0.000112,0.263,-4.979,0.0565,105.448,4
Mr. Big Stuff - Remix,Living Large,Heavy D & The Boyz,1987-10-25,202933,36,0.00318,0.723,0.484,0.00529,0.0785,-16.293,0.368,201.262,4
Mr.Big,Other Side,Alessandro Stalloni,2021-12-27,196533,0,0.0364,0.37,0.711,0.0,0.303,-11.742,0.229,87.691,4
Mr. Big,Fire And Water,Free,1970-06-26,356173,41,0.0423,0.459,0.404,0.032,0.12,-12.015,0.0453,79.286,4
Mr.Big,Mr. Big,Diego Paredes,2020-03-04,450753,0,0.0169,0.698,0.528,0.853,0.0764,-12.961,0.0459,126.008,4
Mr. Bigg,Heart Of A Beast,Joe Green,2018-08-03,228298,29,0.00216,0.889,0.55,0.00018,0.0373,-8.456,0.157,156.997,4
Mr. Big Stuff,20th Century Masters: The Millennium Collection: Best Of Heavy D & The Boyz,Heavy D & The Boyz,2002-01-01,204200,29,0.00291,0.696,0.758,0.0015,0.0878,-7.777,0.288,201.412,4
Just Take My Heart - 2021 Remastered,Lean Into It (30th Anniversary Edition),Mr. Big,1991,263840,53,0.496,0.508,0.282,0.0,0.116,-13.072,0.04,169.647,4
